Year,State_Abbr,State,Indicator,Percent,Low CI,High CI,Sample Size
2017,RI,Rhode Island,Percent of breastfed infants who were supplemented with infant formula before 3 months,31.5,24.7,39.1,193
2017,IA,Iowa,Percent of infants who were breastfed at 12 months,32.5,25.8,40,232
2017,MA,Massachusetts,Percent of infants who were exclusively breastfed through 3 months,44.5,36.3,53,309
2017,CA,California,Percent of infants who were breastfed at 6 months,67.1,58,75.1,416
2017,UT,Utah,Percent of infants who were breastfed at 12 months,42.4,35.8,49.3,274
2017,DC,District of Columbia,Percent of infants who were exclusively breastfed through 6 months,24,18.9,29.9,359
2017,NV,Nevada,Percent of breastfed infants who were supplemented with infant formula before 6 months,40.1,32.6,48.1,256
2017,WV,West Virginia,Percent of breastfed infants who were supplemented with infant formula before 6 months,33.5,26.3,41.5,176
2017,AK,Alaska,Percent of infants who were breastfed at 12 months,43.9,36.8,51.3,244
2017,IL,Illinois,Percent of infants who were exclusively breastfed through 6 months,23.9,19.8,28.4,551
2017,ID,Idaho,Percent of infants who were exclusively breastfed through 6 months,24.6,18,32.7,218
2017,MS,Mississippi,Percent of infants who were ever breastfed,70,63.7,75.6,403
2017,FL,Florida,Percent of breastfed infants who were supplemented with infant formula before 3 months,31.8,24.7,39.7,392
2017,MO,Missouri,Percent of infants who were breastfed at 6 months,50.2,43.8,56.5,365
2017,TN,Tennessee,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,8.9,5.4,14.5,183
2017,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.8,11.2,24.3,186
2017,OK,Oklahoma,Percent of infants who were breastfed at 6 months,53.6,47.5,59.6,356
2017,TN,Tennessee,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.1,20.8,46,123
2017,NY,New York,Percent of infants who were exclusively breastfed through 6 months,25.8,21.5,30.5,760
2017,GU,Guam,Percent of infants who were ever breastfed,76,66.3,83.5,195
2017,UT,Utah,Percent of infants who were exclusively breastfed through 6 months,26.3,20.6,32.8,261
2017,AZ,Arizona,Percent of infants who were exclusively breastfed through 3 months,48.8,42.3,55.4,311
2017,IN,Indiana,Percent of infants who were exclusively breastfed through 3 months,42.6,36.2,49.3,307
2017,NC,North Carolina,Percent of infants who were exclusively breastfed through 3 months,42.5,36.4,48.9,393
2017,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula before 3 months,29.1,21.4,38.2,218
2017,CT,Connecticut,Percent of infants who were ever breastfed,85.4,76.4,91.3,184
2017,MS,Mississippi,Percent of breastfed infants who were supplemented with infant formula before 6 months,28.8,21.2,37.8,175
2017,KY,Kentucky,Percent of infants who were exclusively breastfed through 6 months,23,16.9,30.5,215
2017,MD,Maryland,Percent of infants who were ever breastfed,88.6,84.3,91.8,775
2017,NV,Nevada,Percent of breastfed infants who were supplemented with infant formula before 3 months,34.7,28.2,41.8,311
2017,AK,Alaska,Percent of infants who were exclusively breastfed through 6 months,35.3,28.5,42.7,236
2017,VI,Virgin Islands,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,,,
2017,UT,Utah,Percent of breastfed infants who were supplemented with infant formula before 3 months,32.2,25.4,39.8,218
2017,FL,Florida,Percent of infants who were breastfed at 6 months,52.4,45.9,58.8,559
2017,AK,Alaska,Percent of breastfed infants who were supplemented with infant formula before 3 months,23.6,17.3,31.3,203
2017,CA,California,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,23.4,16.1,32.7,385
2017,RI,Rhode Island,Percent of infants who were breastfed at 6 months,53.9,47.2,60.4,271
2017,KY,Kentucky,Percent of breastfed infants who were supplemented with infant formula before 3 months,25.3,17.7,34.8,133
2017,HI,Hawaii,Percent of breastfed infants who were supplemented with infant formula before 6 months,38.1,30.4,46.5,223
2017,WA,Washington,Percent of infants who were exclusively breastfed through 6 months,28.9,23.6,34.9,423
2017,IN,Indiana,Percent of infants who were ever breastfed,78.4,72.1,83.7,317
2017,TX,Texas,Percent of infants who were exclusively breastfed through 6 months,23.9,21.1,26.9,1827
2017,PA,Pennsylvania,Percent of infants who were exclusively breastfed through 3 months,47.9,42,53.9,662
2017,OH,Ohio,Percent of infants who were breastfed at 6 months,51.1,44.5,57.5,351
2017,MT,Montana,Percent of infants who were breastfed at 12 months,36.8,30.8,43.2,308
2017,AR,Arkansas,Percent of infants who were exclusively breastfed through 3 months,39.4,33.6,45.6,418
2017,MO,Missouri,Percent of infants who were ever breastfed,77.5,71.5,82.6,365
2017,NH,New Hampshire,Percent of infants who were exclusively breastfed through 3 months,63,55.8,69.7,262
2017,VT,Vermont,Percent of infants who were ever breastfed,90.2,85.3,93.6,368
2017,IN,Indiana,Percent of infants who were breastfed at 12 months,27.4,22.2,33.3,317
2017,LA,Louisiana,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.4,9,19.5,340
2017,OH,Ohio,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.3,11.6,22.5,298
2017,VI,Virgin Islands,Percent of infants who were breastfed at 6 months,,,,
2017,WA,Washington,Percent of breastfed infants who were supplemented with infant formula before 3 months,28.1,22.1,34.9,379
2017,ND,North Dakota,Percent of infants who were exclusively breastfed through 3 months,50.7,43.7,57.7,265
2017,CO,Colorado,Percent of infants who were exclusively breastfed through 6 months,34.1,26.8,42.2,271
2017,GA,Georgia,Percent of infants who were breastfed at 12 months,33.5,27.8,39.8,386
2017,ME,Maine,Percent of breastfed infants who were supplemented with infant formula before 6 months,29.7,22.5,38,198
2017,WI,Wisconsin,Percent of infants who were breastfed at 12 months,34,28.3,40.3,312
2017,NV,Nevada,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,22.7,17.4,28.9,361
2017,OK,Oklahoma,Percent of infants who were breastfed at 12 months,31,25.8,36.8,356
2017,CO,Colorado,Percent of infants who were breastfed at 6 months,69.2,60.6,76.6,277
2017,NY,New York,Percent of breastfed infants who were supplemented with infant formula before 3 months,34.5,29.2,40.1,603
2017,WY,Wyoming,Percent of infants who were ever breastfed,90,84.9,93.5,269
2017,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.1,8.6,19.6,241
2017,NJ,New Jersey,Percent of infants who were breastfed at 6 months,63.5,57.6,69.1,413
2017,MO,Missouri,Percent of infants who were exclusively breastfed through 6 months,23.4,18.4,29.1,352
2017,NH,New Hampshire,Percent of infants who were ever breastfed,88.3,82.8,92.2,267
2017,DC,District of Columbia,Percent of breastfed infants who were supplemented with infant formula before 6 months,45.4,37.6,53.4,269
2009,NM,New Mexico,Percent of infants who were ever breastfed,75,68.3,80.7,381
2017,ME,Maine,Percent of infants who were breastfed at 12 months,39.6,33.4,46.2,306
2017,DE,Delaware,Percent of infants who were exclusively breastfed through 3 months,42.7,36.7,48.9,328
2017,IA,Iowa,Percent of infants who were breastfed at 6 months,54.1,46.5,61.6,232
2017,MS,Mississippi,Percent of infants who were exclusively breastfed through 6 months,18.1,14.2,22.7,388
2017,KS,Kansas,Percent of infants who were breastfed at 6 months,58.7,51.9,65.2,346
2017,NC,North Carolina,Percent of breastfed infants who were supplemented with infant formula before 6 months,33,25.5,41.6,237
2017,PR,Puerto Rico,Percent of infants who were exclusively breastfed through 6 months,,,,
2017,AL,Alabama,Percent of infants who were breastfed at 6 months,38.5,32.8,44.6,349
2017,SC,South Carolina,Percent of infants who were breastfed at 12 months,30.9,25.6,36.7,378
2017,WV,West Virginia,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,15.4,10.9,21.2,274
2017,MO,Missouri,Percent of infants who were exclusively breastfed through 3 months,42.3,36.2,48.7,352
2017,SD,South Dakota,Percent of infants who were ever breastfed,88.5,83.1,92.3,258
2017,CO,Colorado,Percent of infants who were breastfed at 12 months,47,38.8,55.4,277
2017,MD,Maryland,Percent of infants who were exclusively breastfed through 3 months,51.9,46.6,57.1,749
2017,CT,Connecticut,Percent of infants who were exclusively breastfed through 3 months,48.4,39.2,57.7,180
2017,NM,New Mexico,Percent of infants who were breastfed at 12 months,40,34.6,45.7,523
2018,WV,West Virginia,Percent of infants who were breastfed at 12 months,21.3,16.8,26.7,292
2017,VT,Vermont,Percent of infants who were breastfed at 12 months,51.3,45.2,57.4,368
2017,NV,Nevada,Percent of infants who were ever breastfed,81.8,76.2,86.4,423
2017,FL,Florida,Percent of infants who were exclusively breastfed through 6 months,19.9,15.4,25.4,535
2017,AK,Alaska,Percent of infants who were breastfed at 6 months,67.4,59.6,74.3,244
2017,WI,Wisconsin,Percent of breastfed infants who were supplemented with infant formula before 6 months,31.7,24.8,39.5,193
2017,ND,North Dakota,Percent of breastfed infants who were supplemented with infant formula before 6 months,28,21,36.3,157
2017,CO,Colorado,Percent of breastfed infants who were supplemented with infant formula before 3 months,30.1,21.7,40,231
2017,AL,Alabama,Percent of infants who were breastfed at 12 months,21.6,17,27,349
2017,GA,Georgia,Percent of infants who were exclusively breastfed through 6 months,22.1,17.4,27.7,379
2017,LA,Louisiana,Percent of infants who were breastfed at 12 months,21.8,17,27.7,444
2017,VI,Virgin Islands,Percent of infants who were exclusively breastfed through 3 months,,,,
2017,IA,Iowa,Percent of infants who were exclusively breastfed through 3 months,41.8,34.6,49.5,223
2017,DE,Delaware,Percent of infants who were ever breastfed,79.7,74,84.4,337
2017,TN,Tennessee,Percent of infants who were breastfed at 6 months,48.7,39.3,58.2,229
2017,ME,Maine,Percent of breastfed infants who were supplemented with infant formula before 3 months,25.3,19.1,32.8,232
2017,MD,Maryland,Percent of infants who were exclusively breastfed through 6 months,29.4,24.8,34.4,749
2017,GU,Guam,Percent of infants who were exclusively breastfed through 3 months,35.4,27.7,44,185
2017,PA,Pennsylvania,Percent of infants who were ever breastfed,82.9,77.7,87,680
2017,WY,Wyoming,Percent of infants who were exclusively breastfed through 6 months,31.8,25.9,38.3,264
2017,OH,Ohio,Percent of infants who were exclusively breastfed through 6 months,21.6,17,27.1,344
2017,CA,California,Percent of breastfed infants who were supplemented with infant formula before 6 months,40.3,30,51.4,308
2017,MD,Maryland,Percent of infants who were breastfed at 6 months,65.7,60.3,70.8,775
2017,VA,Virginia,Percent of infants who were breastfed at 6 months,74,66.2,80.6,417
2017,AZ,Arizona,Percent of infants who were ever breastfed,89.9,85.8,92.9,321
2017,GU,Guam,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,21.7,14.5,31.1,164
2017,NE,Nebraska,Percent of infants who were breastfed at 12 months,41.4,34.6,48.6,234
2017,MS,Mississippi,Percent of breastfed infants who were supplemented with infant formula before 3 months,26.2,19.9,33.7,229
2017,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.8,9.1,20.3,199
2017,WV,West Virginia,Percent of infants who were breastfed at 12 months,25.3,21.1,30.1,378
2017,NC,North Carolina,Percent of infants who were ever breastfed,80.3,74.1,85.3,398
2017,SD,South Dakota,Percent of infants who were exclusively breastfed through 3 months,53.1,46,60.1,250
2017,PA,Pennsylvania,Percent of breastfed infants who were supplemented with infant formula before 6 months,34,27.2,41.5,417
2017,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.3,21,34.6,260
2017,CO,Colorado,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,17.8,10.9,27.6,257
2017,OK,Oklahoma,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,15.5,11.1,21.2,293
2017,GA,Georgia,Percent of breastfed infants who were supplemented with infant formula before 3 months,31.2,24.5,38.9,286
2017,AL,Alabama,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.4,11.4,23.1,258
2017,OR,Oregon,Percent of infants who were exclusively breastfed through 3 months,65.8,56.5,74.1,177
2017,MI,Michigan,Percent of infants who were breastfed at 12 months,34.4,28.9,40.4,404
2017,OK,Oklahoma,Percent of breastfed infants who were supplemented with infant formula before 3 months,28.3,22.2,35.3,249
2017,NJ,New Jersey,Percent of infants who were exclusively breastfed through 3 months,46.9,40.8,53.1,397
2017,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula before 6 months,34.1,25.6,43.8,191
2017,PR,Puerto Rico,Percent of infants who were breastfed at 6 months,,,,
2017,NM,New Mexico,Percent of infants who were exclusively breastfed through 6 months,26.6,21.7,32.2,513
2017,KS,Kansas,Percent of infants who were exclusively breastfed through 6 months,31.6,25.7,38.2,338
2017,MA,Massachusetts,Percent of infants who were ever breastfed,80.7,72.7,86.7,321
2017,WY,Wyoming,Percent of infants who were breastfed at 6 months,64.8,58,71,269
2017,WI,Wisconsin,Percent of breastfed infants who were supplemented with infant formula before 3 months,25.9,19.9,33,230
2017,MS,Mississippi,Percent of infants who were breastfed at 6 months,38.6,33,44.4,403
2017,VA,Virginia,Percent of infants who were exclusively breastfed through 6 months,30.4,23.7,38.1,408
2017,SD,South Dakota,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,15.2,10.3,21.8,229
2017,SC,South Carolina,Percent of infants who were exclusively breastfed through 3 months,45,38.9,51.2,368
2017,IN,Indiana,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,10.8,7.1,16.2,261
2017,NM,New Mexico,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,14.1,10.1,19.4,456
2017,DC,District of Columbia,Percent of infants who were breastfed at 6 months,64.7,57.9,70.9,374
2017,MN,Minnesota,Percent of infants who were breastfed at 12 months,49.8,41.6,58,256
2017,WY,Wyoming,Percent of infants who were exclusively breastfed through 3 months,51.7,44.9,58.5,264
2017,UT,Utah,Percent of infants who were ever breastfed,91.8,87,95,274
2017,ID,Idaho,Percent of breastfed infants who were supplemented with infant formula before 3 months,26.1,19.1,34.5,182
2017,SD,South Dakota,Percent of breastfed infants who were supplemented with infant formula before 6 months,29.2,22,37.7,184
2017,ME,Maine,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,12.3,8.3,17.8,272
2017,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula before 6 months,34,24.7,44.8,128
2017,GU,Guam,Percent of breastfed infants who were supplemented with infant formula before 6 months,33.9,23.5,46.1,114
2017,NY,New York,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,24.9,20.3,30.1,704
2017,VA,Virginia,Percent of breastfed infants who were supplemented with infant formula before 3 months,29.7,22,38.7,353
2017,WY,Wyoming,Percent of breastfed infants who were supplemented with infant formula before 6 months,33.4,25.8,42,182
2017,CT,Connecticut,Percent of breastfed infants who were supplemented with infant formula before 3 months,32.7,23.2,43.9,144
2017,GU,Guam,Percent of infants who were breastfed at 12 months,29.9,22.7,38.3,195
2017,MA,Massachusetts,Percent of infants who were exclusively breastfed through 6 months,23.9,17.4,32,309
2017,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula before 6 months,36.3,30.7,42.3,547
2017,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula before 6 months,27.8,20.4,36.5,151
2017,AK,Alaska,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,12.4,8,18.7,226
2017,ID,Idaho,Percent of infants who were breastfed at 6 months,63.4,55.2,70.8,228
2017,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula before 3 months,25.1,18.6,33.1,174
2017,GA,Georgia,Percent of infants who were ever breastfed,83.5,77.6,88.1,386
2017,AL,Alabama,Percent of infants who were exclusively breastfed through 6 months,20.4,15.8,25.9,337
2017,VT,Vermont,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13,9,18.4,336
2017,KY,Kentucky,Percent of infants who were breastfed at 6 months,44.5,36.8,52.5,219
2017,SC,South Carolina,Percent of infants who were ever breastfed,80.5,74.9,85,378
2017,HI,Hawaii,Percent of infants who were breastfed at 6 months,74.5,67.5,80.4,283
2017,OH,Ohio,Percent of infants who were breastfed at 12 months,31.1,25.6,37.2,351
2017,SD,South Dakota,Percent of infants who were breastfed at 12 months,41.2,34.6,48.1,258
2017,DE,Delaware,Percent of breastfed infants who were supplemented with infant formula before 6 months,38,30.5,46.2,196
2017,CA,California,Percent of infants who were breastfed at 12 months,43.3,34.7,52.4,416
2017,WI,Wisconsin,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.2,9,18.8,266
2017,MS,Mississippi,Percent of infants who were exclusively breastfed through 3 months,34.8,29.4,40.6,388
2017,AL,Alabama,Percent of breastfed infants who were supplemented with infant formula before 3 months,22.9,16.3,31.2,194
2017,NJ,New Jersey,Percent of breastfed infants who were supplemented with infant formula before 6 months,41.6,34.2,49.4,258
2017,MT,Montana,Percent of infants who were exclusively breastfed through 6 months,31.1,25.4,37.3,301
2017,KS,Kansas,Percent of breastfed infants who were supplemented with infant formula before 3 months,24.4,18.1,32.2,249
2017,VI,Virgin Islands,Percent of breastfed infants who were supplemented with infant formula before 6 months,,,,
2017,TX,Texas,Percent of breastfed infants who were supplemented with infant formula before 3 months,31,27.5,34.8,1361
2017,OH,Ohio,Percent of breastfed infants who were supplemented with infant formula before 6 months,35.1,27.6,43.4,206
2017,HI,Hawaii,Percent of infants who were exclusively breastfed through 3 months,57.4,49.8,64.7,268
2017,RI,Rhode Island,Percent of infants who were exclusively breastfed through 6 months,22.7,17.7,28.7,260
2017,WA,Washington,Percent of infants who were breastfed at 6 months,74.6,68.6,79.8,442
2017,AK,Alaska,Percent of infants who were ever breastfed,91.9,86.9,95.1,244
2017,AR,Arkansas,Percent of infants who were ever breastfed,70.1,63.5,75.9,430
2017,NM,New Mexico,Percent of infants who were breastfed at 6 months,57.9,52,63.5,523
2017,IL,Illinois,Percent of infants who were ever breastfed,84.2,79.9,87.7,566
2017,TX,Texas,Percent of infants who were breastfed at 6 months,55.1,51.6,58.5,1888
2017,NY,New York,Percent of infants who were ever breastfed,87.4,82.9,90.8,782
2017,NM,New Mexico,Percent of breastfed infants who were supplemented with infant formula before 3 months,25.1,19.6,31.5,386
2017,GA,Georgia,Percent of infants who were exclusively breastfed through 3 months,43.9,37.5,50.6,379
2017,NY,New York,Percent of infants who were breastfed at 6 months,59.8,54.5,65,782
2017,CA,California,Percent of infants who were exclusively breastfed through 6 months,28.2,20.7,37,397
2017,SD,South Dakota,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.5,20.8,35.4,209
2017,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula before 3 months,30.6,25.6,36,630
2017,WI,Wisconsin,Percent of infants who were exclusively breastfed through 6 months,28.1,22.7,34.1,300
2017,NJ,New Jersey,Percent of infants who were exclusively breastfed through 6 months,27.7,22.4,33.7,397
2017,ID,Idaho,Percent of infants who were ever breastfed,94.6,90.4,97,228
2017,AL,Alabama,Percent of infants who were exclusively breastfed through 3 months,37.8,31.8,44.2,337
2017,OH,Ohio,Percent of breastfed infants who were supplemented with infant formula before 3 months,30.4,23.7,38,248
2017,OR,Oregon,Percent of breastfed infants who were supplemented with infant formula before 3 months,20.3,13.9,28.5,156
2017,CO,Colorado,Percent of infants who were exclusively breastfed through 3 months,54.5,45.8,62.9,271
2017,NE,Nebraska,Percent of infants who were ever breastfed,85.3,79.5,89.6,234
2017,AZ,Arizona,Percent of infants who were breastfed at 6 months,64.9,58.4,70.9,321
2017,AR,Arkansas,Percent of infants who were breastfed at 12 months,23.8,19.2,29.1,430
2017,CA,California,Percent of breastfed infants who were supplemented with infant formula before 3 months,36.2,27.2,46.3,358
2017,SC,South Carolina,Percent of infants who were exclusively breastfed through 6 months,25.6,20.7,31.1,368
2017,IN,Indiana,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.5,24.8,41.3,172
2017,PR,Puerto Rico,Percent of infants who were ever breastfed,,,,
2017,ME,Maine,Percent of infants who were exclusively breastfed through 6 months,28.1,22.6,34.2,298
2017,GU,Guam,Percent of infants who were exclusively breastfed through 6 months,22.4,16.5,29.6,185
2017,MI,Michigan,Percent of infants who were ever breastfed,85.3,79.9,89.4,404
2017,NJ,New Jersey,Percent of breastfed infants who were supplemented with infant formula before 3 months,36,29.6,42.9,317
2017,MT,Montana,Percent of infants who were exclusively breastfed through 3 months,55.1,48.4,61.7,301
2017,NE,Nebraska,Percent of infants who were breastfed at 6 months,63,55.8,69.7,234
2017,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.7,12.1,22.6,313
2017,KY,Kentucky,Percent of infants who were ever breastfed,72.6,64.3,79.6,219
2017,GA,Georgia,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,19.6,14.5,26,336
2017,VA,Virginia,Percent of infants who were exclusively breastfed through 3 months,56.8,48.5,64.8,408
2017,ND,North Dakota,Percent of infants who were breastfed at 12 months,32.4,26.3,39.1,273
2017,SD,South Dakota,Percent of infants who were breastfed at 6 months,70.1,63.4,76.1,258
2017,UT,Utah,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.1,24.7,40.5,183
2017,ND,North Dakota,Percent of infants who were exclusively breastfed through 6 months,29.1,23.1,35.9,265
2017,KY,Kentucky,Percent of infants who were breastfed at 12 months,23.2,17.3,30.4,219
2017,VI,Virgin Islands,Percent of infants who were exclusively breastfed through 6 months,,,,
2017,WA,Washington,Percent of infants who were ever breastfed,92.5,87.6,95.6,442
2017,CT,Connecticut,Percent of infants who were exclusively breastfed through 6 months,25.7,18.6,34.5,180
2017,NV,Nevada,Percent of infants who were breastfed at 12 months,36,30.3,42.1,423
2017,TX,Texas,Percent of infants who were ever breastfed,85.9,83.4,88.1,1888
2017,MO,Missouri,Percent of breastfed infants who were supplemented with infant formula before 3 months,29.6,22.7,37.6,238
2017,TN,Tennessee,Percent of infants who were breastfed at 12 months,24,17.6,32,229
2017,NM,New Mexico,Percent of infants who were exclusively breastfed through 3 months,49.1,43.2,54.9,513
2017,WY,Wyoming,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.9,11.9,23.5,245
2017,DC,District of Columbia,Percent of infants who were ever breastfed,88,82.3,92,374
2017,MI,Michigan,Percent of breastfed infants who were supplemented with infant formula before 6 months,35.4,28.1,43.4,250
2017,KS,Kansas,Percent of infants who were exclusively breastfed through 3 months,51.6,44.8,58.4,338
2017,DE,Delaware,Percent of infants who were breastfed at 12 months,31.2,26,37,337
2017,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,20.1,16.1,24.7,699
2017,IA,Iowa,Percent of infants who were exclusively breastfed through 6 months,24.8,18.9,31.8,223
2017,OR,Oregon,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,7.9,3.7,16.3,167
2017,CO,Colorado,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.4,23.5,42.8,202
2017,GU,Guam,Percent of breastfed infants who were supplemented with infant formula before 3 months,34.9,25.4,45.8,138
2017,OK,Oklahoma,Percent of infants who were exclusively breastfed through 3 months,44.7,38.7,50.8,343
2017,WY,Wyoming,Percent of breastfed infants who were supplemented with infant formula before 3 months,30.8,23.9,38.7,213
2017,MN,Minnesota,Percent of infants who were breastfed at 6 months,79.1,72.5,84.5,256
2017,HI,Hawaii,Percent of infants who were breastfed at 12 months,55,47.8,62,283
2017,MT,Montana,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,12.4,8.1,18.5,273
2017,ND,North Dakota,Percent of infants who were ever breastfed,84,78.1,88.5,273
2017,PA,Pennsylvania,Percent of infants who were breastfed at 12 months,34.6,29.3,40.2,680
2017,WA,Washington,Percent of infants who were breastfed at 12 months,49.6,43.3,56,442
2017,AL,Alabama,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.3,23.8,42.2,150
2017,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 6 months,29.6,22.8,37.4,223
2017,PA,Pennsylvania,Percent of infants who were breastfed at 6 months,58,51.9,63.8,680
2017,TN,Tennessee,Percent of infants who were exclusively breastfed through 3 months,49.9,40.4,59.5,225
2017,CT,Connecticut,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,23.5,15.6,33.9,162
2017,IL,Illinois,Percent of infants who were breastfed at 6 months,52.9,47.8,58,566
2017,NE,Nebraska,Percent of infants who were exclusively breastfed through 6 months,32.6,26.3,39.7,227
2017,GA,Georgia,Percent of breastfed infants who were supplemented with infant formula before 6 months,37.8,29.9,46.5,241
2017,MA,Massachusetts,Percent of infants who were breastfed at 12 months,37.9,30.2,46.4,321
2017,MI,Michigan,Percent of infants who were exclusively breastfed through 6 months,25.8,20.6,31.7,390
2017,ME,Maine,Percent of infants who were exclusively breastfed through 3 months,52.7,46.1,59.3,298
2017,LA,Louisiana,Percent of infants who were breastfed at 6 months,41,34.6,47.7,444
2017,MA,Massachusetts,Percent of breastfed infants who were supplemented with infant formula before 3 months,32.9,24.4,42.6,244
2017,ID,Idaho,Percent of infants who were exclusively breastfed through 3 months,52.4,44.3,60.5,218
2017,MS,Mississippi,Percent of infants who were breastfed at 12 months,20.3,16.2,25,403
2017,VA,Virginia,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.2,10.5,24.2,383
2017,PR,Puerto Rico,Percent of infants who were breastfed at 12 months,,,,
2017,VA,Virginia,Percent of infants who were ever breastfed,91.7,85.7,95.3,417
2017,MT,Montana,Percent of breastfed infants who were supplemented with infant formula before 6 months,26.7,20,34.7,200
2017,WV,West Virginia,Percent of infants who were breastfed at 6 months,42.6,37.3,48.1,378
2017,CA,California,Percent of infants who were ever breastfed,90.3,82.6,94.8,416
